case,seed,gap,sigma,bias,retain,phase,kind,supplied_sigma,sigma_factor,method,status,seconds,surface_mae_mm,balanced_source_mae_mm,vertical_w1_mm,representation,model_k,n,risk_rms_mm,matched_rms_mm,coverage_1mm,single_false_split,posterior_brier,upper_mass,upper_mass_error,source_gap_error_mm,cross_midplane_mass,fitted_gap_error_mm,dual_missed,ratio,dependence,weighted_reference_near_mass
s9182101_g2_n0.5_b0_r0.25,9182101,2,0.5,0,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.5705923950008582,0.055949251009518544,0.06736214555235312,0.05594925100952306,points,2,428,0.1080438452375018,0.1080438452375018,0.9953271028037384,,0.00018287710113098438,0.25934579439252337,0.0,0.04742445499352588,0.0,0.06920317260843367,0,,,
s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,0,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,3.1390793999889866,0.036255106000991445,0.039403034926383404,0.038638890298068614,points,2,768,0.10228405985040329,0.10228405985040329,0.9986979166666666,,0.0016294111266120194,0.5859375,0.0013020833333333703,0.04903572371613696,0.0011086474501108647,0.014241055514757628,0,,,
s9182101_g2_n0.5_b0_r1.0,9182101,2,0.5,0,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,3.139084233000176,0.0366881802940313,0.03994733014625412,0.03906886013298593,points,2,768,0.10246533281691145,0.10246533281691145,0.9986979166666666,,0.0013818565549539852,0.5859375,0.0013020833333333703,0.049759473848265845,0.0011086474501108647,0.01212804983875837,0,,,
s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,4,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.348294720010017,0.09756812129433655,0.15237244923168414,0.1060356627781473,points,2,428,0.5051126029563091,0.5051126029563091,0.9906542056074766,,0.00026439905854235024,0.2546728971962617,0.004672897196261683,0.07341410657699932,0.009009009009009009,0.0629776323102691,0,,,
s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,4,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.3482992670033127,0.09811682905595472,0.1530362608336832,0.10656143624039813,points,2,428,0.5052177221371632,0.5052177221371632,0.9906542056074766,,0.00018352107595826016,0.2546728971962617,0.004672897196261683,0.07389240214673709,0.009009009009009009,0.06726106824323885,0,,,
s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,4,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.8620358600019244,0.14351066495407994,0.16097894943744073,0.1786435259243655,points,2,768,0.8779918517001563,0.8779918517001563,0.97265625,,0.0016058594812448205,0.5638020833333334,0.0234375,0.11070987544396815,0.019955654101995565,0.01292542996873336,0,,,
s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,4,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.8620404490065994,0.14391692746260398,0.1614670449285198,0.17901407571781253,points,2,768,0.8780110758156717,0.8780110758156717,0.97265625,,0.001428867366582519,0.5638020833333334,0.0234375,0.11136494870244218,0.019955654101995565,0.011006046269433911,0,,,
s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,0,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.507130514990422,0.3597806683336713,0.3995743988146404,0.36347040454899326,points,2,428,0.4426177359862846,0.4426177359862846,0.9813084112149533,,0.23268847524621197,0.24065420560747663,0.01869158878504673,0.48836403218165425,0.036036036036036036,1.8629523412823639,0,,,
s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,0,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.5071351769875037,0.08988427508175208,0.1250888651777364,0.07727443785729052,points,2,428,0.28255832370285744,0.28255832370285744,0.9906542056074766,,0.010279301876165778,0.2616822429906542,0.0023364485981308136,0.024809878764730176,0.01982266177849774,0.1624821533857772,0,,,
s9182101_g2_n1.0_b0_r1.0,9182101,2,1.0,0,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,3.1364429110108176,0.08288030665658726,0.10076526878276607,0.07294552897322791,points,2,768,0.290074401202932,0.290074401202932,0.9856770833333334,,0.013974364265270753,0.5963541666666666,0.00911458333333326,0.14236706753401562,0.021784747529150085,0.027563664497338713,0,,,
s9182101_g2_n1.0_b0_r1.0,9182101,2,1.0,0,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,3.1364471630076878,0.07833249814653238,0.09532045519728988,0.06890073665794293,points,2,768,0.2727129148840124,0.2727129148840124,0.9869791666666666,,0.012441589489999724,0.59375,0.00651041666666663,0.13479105299606275,0.01863017339665797,0.031395040831524224,0,,,
s9182101_g2_n1.0_b4_r0.25,9182101,2,1.0,4,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.4688945840025553,0.2870665666078993,0.35500968537093414,0.30061852108235676,points,2,428,0.39415159803164224,0.39415159803164224,0.9719626168224299,,0.08162821057879054,0.22897196261682243,0.030373831775700938,0.3604061386028399,0.05855855855855856,1.0930340780591905,0,,,
s9182101_g2_n1.0_b4_r0.25,9182101,2,1.0,4,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.4688999490026617,0.10468965971789657,0.13952325492474965,0.09207240657941776,points,2,428,0.29045760961123634,0.29045760961123634,0.9906542056074766,,0.010258899584866574,0.2616822429906542,0.0023364485981308136,0.02485718064996978,0.01982266177849774,0.16187385957002443,0,,,
s9182101_g2_n1.0_b4_r1.0,9182101,2,1.0,4,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,3.123720739997225,0.08314025600125168,0.09872108852172197,0.07530321936774462,points,2,768,0.2892543659248425,0.2892543659248425,0.9869791666666666,,0.014116250930755844,0.59765625,0.01041666666666663,0.13791850518033444,0.02067610007903922,0.027383429173061025,0,,,
s9182101_g2_n1.0_b4_r1.0,9182101,2,1.0,4,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,3.1237255209998693,0.07835976125710817,0.0952508143108905,0.06878291862048685,points,2,768,0.2817797634780213,0.2817797634780213,0.9869791666666666,,0.012455999230765347,0.59375,0.00651041666666663,0.13489433790991368,0.01863017339665797,0.031108583286899805,0,,,
s9182101_g2_n2.0_b0_r0.25,9182101,2,2.0,0,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,0.005719284003134817,0.4025497014364577,0.42568687022441853,0.4036795625420202,points,1,428,0.4873868648783359,0.4873868648783359,0.9883177570093458,,0.25934579439252337,0.24766355140186916,0.011682242990654207,0.5069250805323615,0.02252252252252252,2.0,1,,,
s9182101_g2_n2.0_b0_r0.25,9182101,2,2.0,0,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,0.005722485002479516,0.4025497014364577,0.42568687022441853,0.4036795625420202,points,1,428,0.4873868648783359,0.4873868648783359,0.9883177570093458,,0.25934579439252337,0.24766355140186916,0.011682242990654207,0.5069250805323615,0.02252252252252252,2.0,1,,,
s9182101_g2_n2.0_b0_r1.0,9182101,2,2.0,0,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,3.1471886910003377,0.3414294613001874,0.3552979585784966,0.3378821930177922,points,2,768,0.4593565607214244,0.4593565607214244,0.953125,,0.09531090980147246,0.6354166666666666,0.04817708333333326,0.5583989318596592,0.06373149048381795,1.1308914929261111,0,,,
s9182101_g2_n2.0_b0_r1.0,9182101,2,2.0,0,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,3.1471939780021785,0.16684096299599752,0.20937387124447393,0.13537419579008417,points,2,768,0.4562288484988513,0.4562288484988513,0.9700520833333334,,0.026867941885540748,0.59765625,0.01041666666666663,0.2242298052490963,0.04484951072625151,0.27185764553643477,0,,,
s9182101_g2_n2.0_b4_r0.25,9182101,2,2.0,4,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,0.005676068991306238,0.4091290983008391,0.4288504873369081,0.40991759652044907,points,1,428,0.49707339479244134,0.49707339479244134,0.9883177570093458,,0.25934579439252337,0.24766355140186916,0.011682242990654207,0.507025218366461,0.02252252252252252,2.0,1,,,
s9182101_g2_n2.0_b4_r0.25,9182101,2,2.0,4,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,0.0056811589893186465,0.4091290983008391,0.4288504873369081,0.40991759652044907,points,1,428,0.49707339479244134,0.49707339479244134,0.9883177570093458,,0.25934579439252337,0.24766355140186916,0.011682242990654207,0.507025218366461,0.02252252252252252,2.0,1,,,
s9182101_g2_n2.0_b4_r1.0,9182101,2,2.0,4,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,3.0222877049964154,0.3151249641644533,0.33699118015989366,0.3104401095906645,points,2,768,0.4796667239789367,0.4796667239789367,0.9361979166666666,,0.08427105567364428,0.6510416666666666,0.06380208333333326,0.5110729879856013,0.08803080431148447,0.8911987315698573,0,,,
s9182101_g2_n2.0_b4_r1.0,9182101,2,2.0,4,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,3.0222919219959294,0.16646116857151783,0.20894261336410186,0.13484726030593366,points,2,768,0.46762352532007495,0.46762352532007495,0.96875,,0.026914939359795897,0.59765625,0.01041666666666663,0.22427379467901565,0.04484951072625151,0.2705914862191454,0,,,
s9182101_g4_n0.5_b0_r0.25,9182101,4,0.5,0,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.4393351690087,0.08917018506147488,0.08592062869276793,0.08917018506148015,points,2,432,0.1421056639675391,0.1421056639675391,0.9953703703703703,,5.331013528098679e-12,0.2569444444444444,0.0,0.00480502894890078,0.0,0.09756976896599667,0,,,
s9182101_g4_n0.5_b0_r0.25,9182101,4,0.5,0,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.4393395690131,0.08917026082191006,0.0859207152128259,0.08917026082191533,points,2,432,0.14210572465685525,0.14210572465685525,0.9953703703703703,,9.905827916990955e-13,0.2569444444444444,0.0,0.0048045704942811795,0.0,0.09756703569338532,0,,,
s9182101_g4_n0.5_b0_r1.0,9182101,4,0.5,0,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.813246560996049,0.05346625631916865,0.05431405586560881,0.05346625631918281,points,2,768,0.08747638819748746,0.08747638819748746,0.9986979166666666,,1.693664519801444e-11,0.58203125,0.0,0.0568554108413859,0.0,0.12884467971624414,0,,,
s9182101_g4_n0.5_b0_r1.0,9182101,4,0.5,0,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.813251842002501,0.05346628737779141,0.054314070608715195,0.05346628737780556,points,2,768,0.08747640812837751,0.08747640812837751,0.9986979166666666,,8.242843251495675e-12,0.58203125,0.0,0.05685521504957869,0.0,0.12884407202839077,0,,,
s9182101_g4_n0.5_b4_r0.25,9182101,4,0.5,4,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.453122439997969,0.3034306964429148,0.267192506080701,0.2941698306554012,points,2,432,0.9331549603118079,0.9331549603118079,0.9606481481481481,,5.329032129852459e-12,0.2708333333333333,0.013888888888888895,0.026133684319455952,0.015407931295781763,0.09737034433601366,0,,,
s9182101_g4_n0.5_b4_r0.25,9182101,4,0.5,4,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.4531272819876904,0.30343094670052245,0.2671928616777692,0.29417008954037593,points,2,432,0.9331549952681787,0.9331549952681787,0.9606481481481481,,9.769817829510058e-13,0.2708333333333333,0.013888888888888895,0.026133217346038684,0.015407931295781763,0.09736758181735317,0,,,
s9182101_g4_n0.5_b4_r1.0,9182101,4,0.5,4,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.7777897079940885,0.079876125624318,0.0872165355824474,0.08924908565367907,points,2,768,0.42834394640367374,0.42834394640367374,0.9934895833333334,,1.841553199982885e-11,0.5794270833333334,0.0026041666666666297,0.031885882839120416,0.0022371364653243847,0.12878100964339412,0,,,
s9182101_g4_n0.5_b4_r1.0,9182101,4,0.5,4,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.7777951390016824,0.07987612951364194,0.08721652550767586,0.08924908969078926,points,2,768,0.42834394619290506,0.42834394619290506,0.9934895833333334,,8.206056607498166e-12,0.5794270833333334,0.0026041666666666297,0.03188567450557178,0.0022371364653243847,0.12878027997865482,0,,,
s9182101_g4_n1.0_b0_r0.25,9182101,4,1.0,0,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.4975273640011437,0.15320717386741614,0.16324433330878432,0.1573038316198011,points,2,432,0.2864497884332928,0.2864497884332928,0.9930555555555556,,0.0025041941671276207,0.25925925925925924,0.002314814814814825,0.0007286976760325636,0.001557632398753894,0.23042743668416543,0,,,
s9182101_g4_n1.0_b0_r0.25,9182101,4,1.0,0,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.497531978006009,0.15338039745744628,0.16335093021203922,0.1574865065001253,points,2,432,0.28671022484771036,0.28671022484771036,0.9930555555555556,,0.002413691254023617,0.25925925925925924,0.002314814814814825,0.0005914964125790512,0.001557632398753894,0.22425838497703632,0,,,
s9182101_g4_n1.0_b0_r1.0,9182101,4,1.0,0,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.9531981030013412,0.1403419411562574,0.14541029132124875,0.1387730254821687,points,2,768,0.32302271620966183,0.32302271620966183,0.98046875,,0.0027022715758207357,0.5807291666666666,0.0013020833333333703,0.17529964166110812,0.003794768864078279,0.24821577660972638,0,,,
s9182101_g4_n1.0_b0_r1.0,9182101,4,1.0,0,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.953203462995589,0.14018803257058934,0.14529168083362987,0.138617183151209,points,2,768,0.3230002725391096,0.3230002725391096,0.98046875,,0.0024688200420402563,0.5807291666666666,0.0013020833333333703,0.1757881462735229,0.003794768864078279,0.24636395153200175,0,,,
s9182101_g4_n1.0_b4_r0.25,9182101,4,1.0,4,0.25,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.5325971169950208,0.2046301817153605,0.2100308384989519,0.20146354586583498,points,2,432,0.321671789357162,0.321671789357162,0.9930555555555556,,0.002441988003087021,0.25925925925925924,0.002314814814814825,0.04285713843773564,0.001557632398753894,0.22887075036259397,0,,,
s9182101_g4_n1.0_b4_r0.25,9182101,4,1.0,4,0.25,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.532603133993689,0.20478347202699024,0.2100878203606561,0.20161091453643795,points,2,432,0.3220432336840653,0.3220432336840653,0.9930555555555556,,0.002404252928999782,0.25925925925925924,0.002314814814814825,0.043106095062126926,0.001557632398753894,0.22346179519549736,0,,,
s9182101_g4_n1.0_b4_r1.0,9182101,4,1.0,4,1.0,development,bridge,1.0,1.0,a_crossfit_gate_map,OK,2.9112517540052067,0.2502768192851626,0.3259913277772569,0.31573407964310357,points,2,768,1.152486344668003,1.152486344668003,0.9505208333333334,,0.0026791714935862024,0.5533854166666666,0.02864583333333337,0.3062367606242917,0.03263710301281649,0.24885701817687167,0,,,
s9182101_g4_n1.0_b4_r1.0,9182101,4,1.0,4,1.0,development,bridge,1.0,1.0,a_insample_gate_map,OK,2.9112562780064764,0.2501243422073889,0.3258494165273537,0.3155953580814902,points,2,768,1.1524789624316096,1.1524789624316096,0.9505208333333334,,0.0024910977979380505,0.5533854166666666,0.02864583333333337,0.30641124306206446,0.03263710301281649,0.24690829060530506,0,,,
s9182101_g4_n2.0_b0_r0.25,9182101,4,2.0,0,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,2.5600505309994332,0.7606647535146384,0.8689941437992923,0.7688910710672787,points,2,432,0.9511781934039486,0.9511781934039486,0.6828703703703703,,0.1599527513787409,0.23148148148148148,0.025462962962962937,0.9680587073056657,0.04954954954954955,3.63441161624327,0,,,
s9182101_g4_n2.0_b0_r0.25,9182101,4,2.0,0,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,2.560055656998884,0.30533893629823017,0.3394174214917124,0.2944411076966026,points,2,432,0.5340368564252096,0.5340368564252096,0.9884259259259259,,0.00884567009464912,0.25925925925925924,0.002314814814814825,0.10423948355531909,0.01368190620527069,0.4844660073477063,0,,,
s9182101_g4_n2.0_b0_r1.0,9182101,4,2.0,0,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,3.173976224992657,0.21464675954680992,0.24974551651367793,0.21941044096407852,points,2,768,0.4935082401216176,0.4935082401216176,0.9869791666666666,,0.010820245046537226,0.5768229166666666,0.00520833333333337,0.2924147819007734,0.01250287482489703,0.5170310719726912,0,,,
s9182101_g4_n2.0_b0_r1.0,9182101,4,2.0,0,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,3.173981788000674,0.21106600696265665,0.23846767331928687,0.2082973186418683,points,2,768,0.45270390147223544,0.45270390147223544,0.9895833333333334,,0.009511356322131443,0.5794270833333334,0.0026041666666666297,0.2781565733801985,0.010265738359572644,0.4860736257974634,0,,,
s9182101_g4_n2.0_b4_r0.25,9182101,4,2.0,4,0.25,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,2.6034125269943615,0.7069606133822043,0.7806670752703658,0.7130115583952399,points,2,432,0.8998020502787999,0.8998020502787999,0.7245370370370371,,0.11969440493310078,0.24074074074074073,0.016203703703703692,0.7989147867165567,0.03153153153153153,3.1829281378337657,0,,,
s9182101_g4_n2.0_b4_r0.25,9182101,4,2.0,4,0.25,development,bridge,2.0,1.0,a_insample_gate_map,OK,2.603416865997133,0.34818323423995,0.38162806424754386,0.33662977152735857,points,2,432,0.5875153562688297,0.5875153562688297,0.9884259259259259,,0.008769040961050686,0.25925925925925924,0.002314814814814825,0.10439088019864595,0.01368190620527069,0.48408663325052714,0,,,
s9182101_g4_n2.0_b4_r1.0,9182101,4,2.0,4,1.0,development,bridge,2.0,1.0,a_crossfit_gate_map,OK,3.1190346039948054,0.2153096648064936,0.24223420532618106,0.21257492367696926,points,2,768,0.4765091125980827,0.4765091125980827,0.9895833333333334,,0.010695307814165384,0.5794270833333334,0.0026041666666666297,0.2815531957006989,0.010265738359572644,0.5310062336743693,0,,,
s9182101_g4_n2.0_b4_r1.0,9182101,4,2.0,4,1.0,development,bridge,2.0,1.0,a_insample_gate_map,OK,3.1190394570003264,0.21105740138665255,0.23843206709078296,0.20819432712406727,points,2,768,0.47562334132528106,0.47562334132528106,0.9895833333333334,,0.009470015566606803,0.5794270833333334,0.0026041666666666297,0.2787130230024837,0.010265738359572644,0.48559977927808307,0,,,
s9182101_g8_n0.5_b0_r0.25,9182101,8,0.5,0,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.227829853000003,0.049239104120614385,0.05708202729221222,0.049239104120631344,points,2,396,0.12887090446286098,0.12887090446286098,0.9924242424242424,,9.967466062920891e-82,0.29797979797979796,0.0,0.06982159215428574,0.0,0.1811201778489,0,,,
s9182101_g8_n0.5_b0_r0.25,9182101,8,0.5,0,0.25,development,bridge,0.5,1.0,a_insample_gate_map,OK,2.227834384990274,0.04923910432579731,0.05708202751817494,0.049239104325814256,points,2,396,0.12887090454386085,0.12887090454386085,0.9924242424242424,,3.452689667796983e-82,0.29797979797979796,0.0,0.06982159231275276,0.0,0.18112017788368462,0,,,
s9182101_g8_n0.5_b0_r1.0,9182101,8,0.5,0,1.0,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,3.0089686470018933,0.02589477486756604,0.023812635993574895,0.025894774867606746,points,2,768,0.07089734787202677,0.07089734787202677,0.9986979166666666,,6.924803276131832e-80,0.6380208333333334,0.0,0.047625271987149276,0.0,0.041835129504532276,0,,,
s9182101_g8_n0.5_b0_r1.0,9182101,8,0.5,0,1.0,development,bridge,0.5,1.0,a_insample_gate_map,OK,3.008973665011581,0.02589477486755078,0.0238126359935612,0.025894774867591487,points,2,768,0.07089734787202095,0.07089734787202095,0.9986979166666666,,8.020941577540965e-80,0.6380208333333334,0.0,0.04762527198712263,0.0,0.04183512950452695,0,,,
s9182101_g8_n0.5_b4_r0.25,9182101,8,0.5,4,0.25,development,bridge,0.5,1.0,a_crossfit_gate_map,OK,2.4435140660061734,0.3425853561613387,0.4080688660494803,0.34258535616135355,points,2,396,0.7991890844075201,0.7991890844075201,0.9747474747474747,,1.3016161981328705e-81,0.29797979797979796,0.0,0.28346326911582764,0.0,0.1799661450079384,0,,,
